id,age,expierense_years,salary,city_index,tax_number
938,40,9,2470.26,9994,538693
939,44,3,785.97,9405,258293
940,60,5,197.26,8618,323049
941,29,3,2712.13,6606,323186
942,52,3,1640.34,5913,126227
943,21,14,2343.58,7048,918586
944,52,13,2522.08,5029,405436
945,25,5,264.75,6695,396709
946,32,10,219.99,8912,131657
947,50,11,2750.5,8589,28026
948,17,19,2442.57,9908,191588
949,43,11,1358.94,8298,708393
950,44,12,1457.12,9091,533160
951,25,2,2714.1,8014,494978
952,37,18,746.77,6917,547446
953,45,20,313.72,7458,513130
954,38,11,1359.84,7917,877189
955,48,9,527.46,7344,705606
956,47,1,2234.75,7934,902794
957,58,12,2185.74,5091,300151
958,28,10,466.21,7720,632469
959,39,20,2435.14,8404,745176
960,22,16,2892.58,8549,60258
961,53,6,2221.65,5557,91068
962,31,15,750.66,5283,59807
963,25,2,1816,9449,911151
964,40,15,2979.85,6521,203034
965,40,18,523.09,9257,323653
966,45,2,2631.55,9522,691419
967,56,0,2036.64,7955,598385
968,18,13,118.18,7814,182480
969,43,13,2152.52,6687,629943
970,49,12,1522.64,6583,800971
971,58,9,2878.48,8727,703561
972,19,19,439.02,8533,932357
973,55,6,2632.4,9442,267688
974,54,5,851.87,5225,57545
975,23,12,134.85,6647,845811
976,29,4,981.38,7628,423375
977,55,12,474.42,7602,726153
978,27,16,2715.77,6724,626666
979,31,6,2799.81,9384,356615
980,50,5,2201.53,5988,307403
981,40,3,1893.58,6418,156211
982,18,19,2326.54,5185,928766
983,22,4,142.37,6454,972838
984,49,12,1531.98,8707,43884
985,58,10,2264.59,6456,445527
986,31,18,1993.81,8684,697766
987,43,9,271.16,6019,959806
988,28,19,1490.24,8763,814474
989,50,20,170.7,9422,460342
990,41,8,2351.69,5171,352637
991,42,6,2880.65,5742,867638
992,22,20,26.96,8298,537526
993,36,20,1338.85,9609,904283
994,35,1,1301.88,7496,93794
995,30,8,331.39,6130,27273
996,58,19,1898.15,9678,617046
997,39,13,224.75,5040,224596
998,51,9,242.79,5178,933383
999,19,0,2171.85,5915,57638
1000,35,8,1561.78,9431,746435
1001,42,2,2061.28,5662,222374
1002,51,5,946.24,6004,550885
1003,56,16,132.51,6829,312836
1004,52,5,787.35,7561,861838
1005,26,12,1037.52,9640,192475
1006,26,6,2152.2,6772,613521
1007,48,10,1607.19,7862,168722
1008,59,9,1258.82,8356,169183
1009,60,14,1539.46,6234,359223
1010,28,15,2160.04,5780,597614
1011,54,15,1527.75,9247,131261
1012,26,18,553.91,9405,535061
1013,21,1,857.48,6340,629873
1014,44,1,1092.87,8319,381248
1015,58,14,2391.49,9295,389535
1016,16,11,904.71,5251,208667
1017,38,14,2507.9,6950,771573
1018,39,11,2183.45,7345,958590
1019,40,12,406.93,5979,225123
1020,50,2,661.33,8971,575380
1021,51,10,1782.4,5001,320803
1022,33,17,186.9,5086,533003
1023,52,16,2398.06,9584,758784
1024,60,6,2582.96,9625,868741
1025,31,1,2868.3,5127,129270
1026,33,7,539.79,7879,170787
1027,29,2,2688.79,6458,336736
1028,40,7,1071.94,8237,674623
1029,31,9,1098.43,5241,944088
1030,19,12,1753.74,8919,986934
1031,30,1,2555.41,9329,947803
1032,50,6,990.8,5961,800487
1033,44,13,1993.02,8505,797471
1034,22,17,1584.89,5514,494197
1035,58,13,747.55,5981,302977
1036,51,9,136.68,5124,290247
1037,19,8,2968.21,5499,71556
1038,31,7,2903.77,6883,719889
1039,36,8,2605.75,6008,12451
1040,60,10,1668.3,6949,213041
1041,59,1,1561.4,6724,339407
1042,46,7,2549.99,8380,154015
1043,46,10,2797.1,8226,795496
1044,22,8,281.45,9572,379365
1045,40,2,1800.73,8925,929080
1046,38,1,1595.62,8313,828559
1047,44,8,2401.55,5336,649621
1048,37,0,1388.28,8424,878759
1049,31,16,463.75,7086,255064
1050,24,17,2240.98,6395,887836
1051,46,12,643.41,6518,825544
1052,60,0,1250.44,6467,80688
1053,58,14,863.46,7899,470608
1054,21,9,1778.3,9538,70672
1055,59,7,955.5,8882,938708
1056,32,13,42.87,9019,800765
1057,20,2,1396.51,8049,278101
1058,56,9,1801.94,6266,306432
1059,57,10,638.28,9230,257867
1060,40,20,2360.4,5316,101407
1061,21,14,1706.8,9976,479096
1062,35,0,2186.66,8545,392335
1063,52,16,432.94,6031,858195
1064,39,11,2899.87,7301,431349
1065,50,2,1449.51,6084,546799
1066,39,8,2392.99,9047,728841
1067,30,10,1985.08,6028,333167
1068,55,12,2718.01,6394,668446
1069,50,19,1104.92,5482,482
1070,30,20,1651.1,5769,732771
1071,48,14,86.43,7893,993382
1072,29,5,1456.55,6457,678447
1073,47,2,1416.43,7017,615089
1074,58,17,87.28,6958,672802
1075,38,5,718.42,9089,226028
1076,39,2,2645.61,6242,759025
1077,25,13,2568.95,8716,864244
1078,43,10,2185.11,9726,868670
1079,36,13,710.17,5163,430453
1080,16,19,835.18,7397,543475
1081,57,4,412.57,8952,633266
1082,59,11,2666.94,5263,429439
1083,51,0,2686.16,6194,14726
1084,60,8,903.61,6085,465942
1085,19,5,2284.12,6906,191267
1086,27,0,2132.24,6979,641174
1087,17,3,102.33,6956,424432
1088,45,10,2368.05,6556,359179
1089,22,12,1000.34,6711,381230
1090,18,9,1093.97,8778,66480
1091,55,6,2152.04,6460,763209
1092,60,3,1902.7,6783,73914
1093,39,1,535.87,8885,346224
1094,58,12,586.18,9752,972819
1095,38,3,1470.62,5294,920066
1096,20,19,2034.06,6637,43805
1097,20,18,1912.35,5049,32814
1098,35,14,2821.86,8747,835461
1099,21,12,380.45,7753,454401
